method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,75.2365 ± 0.5054, 74.5100 ± 0.3251
dagnn, 0.01,0.001,64,2,False,75.2345 ± 0.5074, 74.5100 ± 0.3251
dagnn, 0.01,0.001,64,5,True,75.2283 ± 0.3570, 74.8480 ± 0.5298
dagnn, 0.01,0.001,64,5,False,75.2283 ± 0.3570, 74.8480 ± 0.5298
dagnn, 0.01,0.001,64,10,True,73.4515 ± 2.0033, 73.1808 ± 1.8332
dagnn, 0.01,0.001,64,10,False,73.4227 ± 1.9975, 73.2612 ± 1.8871
dagnn, 0.01,0.001,64,20,True,74.9109 ± 0.2761, 74.3596 ± 0.4081
dagnn, 0.01,0.001,64,20,False,74.8284 ± 0.2996, 74.3431 ± 0.4333
dagnn, 0.01,0.001,128,2,True,75.0160 ± 0.2865, 74.3967 ± 0.3408
dagnn, 0.01,0.001,128,2,False,75.0160 ± 0.2865, 74.3967 ± 0.3408
dagnn, 0.01,0.001,128,5,True,74.8119 ± 0.3351, 74.7491 ± 0.4771
dagnn, 0.01,0.001,128,5,False,74.8181 ± 0.3233, 74.6605 ± 0.6395
dagnn, 0.01,0.001,128,10,True,73.7215 ± 1.5192, 73.5950 ± 1.2197
dagnn, 0.01,0.001,128,10,False,74.0843 ± 1.0652, 73.9062 ± 0.8549
dagnn, 0.01,0.001,128,20,True,66.8597 ± 6.4996, 66.9840 ± 5.8916
dagnn, 0.01,0.001,128,20,False,66.8680 ± 6.9948, 67.1983 ± 6.4173
dagnn, 0.01,0.0005,64,2,True,75.2200 ± 0.5198, 74.6626 ± 0.3450
dagnn, 0.01,0.0005,64,2,False,75.2200 ± 0.5198, 74.6626 ± 0.3450
dagnn, 0.01,0.0005,64,5,True,75.2180 ± 0.3091, 74.8377 ± 0.5326
dagnn, 0.01,0.0005,64,5,False,75.2200 ± 0.3135, 74.8336 ± 0.5307
dagnn, 0.01,0.0005,64,10,True,73.3031 ± 2.0809, 73.1417 ± 1.9447
dagnn, 0.01,0.0005,64,10,False,73.3608 ± 2.0636, 73.2880 ± 1.9314
dagnn, 0.01,0.0005,64,20,True,74.8325 ± 0.2041, 74.4688 ± 0.4572
dagnn, 0.01,0.0005,64,20,False,74.8573 ± 0.2125, 74.4359 ± 0.4672
dagnn, 0.01,0.0005,128,2,True,75.0201 ± 0.2829, 74.3946 ± 0.3437
dagnn, 0.01,0.0005,128,2,False,75.0201 ± 0.2829, 74.3926 ± 0.3411
dagnn, 0.01,0.0005,128,5,True,74.8202 ± 0.3205, 74.7182 ± 0.5493
dagnn, 0.01,0.0005,128,5,False,74.8284 ± 0.3034, 74.7306 ± 0.5376
dagnn, 0.01,0.0005,128,10,True,73.5917 ± 1.8744, 73.4590 ± 1.4655
dagnn, 0.01,0.0005,128,10,False,73.5917 ± 1.8740, 73.4426 ± 1.4475
dagnn, 0.01,0.0005,128,20,True,66.7876 ± 6.8074, 67.0108 ± 6.0728
dagnn, 0.01,0.0005,128,20,False,66.6990 ± 6.8703, 66.9243 ± 6.0972
dagnn, 0.001,0.001,64,2,True,75.1479 ± 0.4504, 74.5554 ± 0.4543
dagnn, 0.001,0.001,64,2,False,75.1479 ± 0.4482, 74.5554 ± 0.4543
dagnn, 0.001,0.001,64,5,True,75.2139 ± 0.3197, 74.6048 ± 0.4825
dagnn, 0.001,0.001,64,5,False,75.2139 ± 0.3197, 74.6048 ± 0.4825
dagnn, 0.001,0.001,64,10,True,75.2324 ± 0.3484, 74.8295 ± 0.5234
dagnn, 0.001,0.001,64,10,False,75.2324 ± 0.3484, 74.8295 ± 0.5234
dagnn, 0.001,0.001,64,20,True,75.2777 ± 0.3246, 74.7676 ± 0.3138
dagnn, 0.001,0.001,64,20,False,75.2757 ± 0.3203, 74.7697 ± 0.3111
dagnn, 0.001,0.001,128,2,True,75.0716 ± 0.2789, 74.4771 ± 0.3071
dagnn, 0.001,0.001,128,2,False,75.0716 ± 0.2789, 74.4771 ± 0.3071
dagnn, 0.001,0.001,128,5,True,75.0964 ± 0.3285, 74.5430 ± 0.5652
dagnn, 0.001,0.001,128,5,False,75.0943 ± 0.3247, 74.5430 ± 0.5652
dagnn, 0.001,0.001,128,10,True,75.1871 ± 0.2677, 74.7491 ± 0.3314
dagnn, 0.001,0.001,128,10,False,75.1871 ± 0.2677, 74.7491 ± 0.3314
dagnn, 0.001,0.001,128,20,True,75.2406 ± 0.2813, 74.7141 ± 0.4709
dagnn, 0.001,0.001,128,20,False,75.2324 ± 0.2783, 74.7305 ± 0.4765
dagnn, 0.001,0.0005,64,2,True,75.1438 ± 0.4456, 74.5286 ± 0.4505
dagnn, 0.001,0.0005,64,2,False,75.1438 ± 0.4456, 74.5286 ± 0.4505
dagnn, 0.001,0.0005,64,5,True,75.2159 ± 0.3175, 74.6028 ± 0.4797
dagnn, 0.001,0.0005,64,5,False,75.2159 ± 0.3175, 74.6028 ± 0.4797
dagnn, 0.001,0.0005,64,10,True,75.2345 ± 0.3468, 74.7718 ± 0.4857
dagnn, 0.001,0.0005,64,10,False,75.2345 ± 0.3466, 74.7718 ± 0.4857
dagnn, 0.001,0.0005,64,20,True,75.2778 ± 0.3339, 74.7573 ± 0.2943
dagnn, 0.001,0.0005,64,20,False,75.2860 ± 0.3313, 74.7615 ± 0.2982
dagnn, 0.001,0.0005,128,2,True,75.0716 ± 0.2789, 74.4791 ± 0.3089
dagnn, 0.001,0.0005,128,2,False,75.0716 ± 0.2789, 74.4791 ± 0.3089
dagnn, 0.001,0.0005,128,5,True,75.0943 ± 0.3247, 74.5410 ± 0.5633
dagnn, 0.001,0.0005,128,5,False,75.0943 ± 0.3247, 74.5760 ± 0.5589
dagnn, 0.001,0.0005,128,10,True,75.1912 ± 0.2708, 74.7491 ± 0.3314
dagnn, 0.001,0.0005,128,10,False,75.1932 ± 0.2746, 74.7553 ± 0.3413
dagnn, 0.001,0.0005,128,20,True,75.2200 ± 0.2778, 74.7512 ± 0.5036
dagnn, 0.001,0.0005,128,20,False,75.2303 ± 0.2855, 74.7512 ± 0.5023
